,types,c.1.length.types..
234,GUSTY THUNDERSTORM WIND,39
235,GUSTY THUNDERSTORM WINDS,39
236,Gusty Wind,24
237,GUSTY WIND,24
238,GUSTY WIND/HAIL,24
239,GUSTY WIND/HVY RAIN,24
240,Gusty wind/rain,24
241,Gusty winds,24
242,Gusty Winds,24
243,GUSTY WINDS,24
244,HAIL,19
245,HAIL 0.75,19
246,HAIL 0.88,19
247,HAIL 075,19
248,HAIL 088,19
249,HAIL 1.00,19
250,HAIL 1.75,19
251,HAIL 1.75),19
252,HAIL 100,19
253,HAIL 125,19
254,HAIL 150,19
255,HAIL 175,19
256,HAIL 200,19
257,HAIL 225,19
258,HAIL 275,19
259,HAIL 450,19
260,HAIL 75,19
261,HAIL 80,19
262,HAIL 88,19
263,HAIL ALOFT,19
264,HAIL DAMAGE,19
265,HAIL FLOODING,19
266,HAIL STORM,19
267,Hail(0.75),19
268,HAIL/ICY ROADS,19
269,HAIL/WIND,19
270,HAIL/WINDS,19
271,HAILSTORM,19
272,HAILSTORMS,19
273,HARD FREEZE,17
274,HAZARDOUS SURF,23
275,HEAT,12
276,HEAT DROUGHT,12
277,Heat Wave,12
278,HEAT WAVE,12
279,HEAT WAVE DROUGHT,12
280,HEAT WAVES,12
281,HEAT/DROUGHT,12
282,Heatburst,12
283,HEAVY LAKE SNOW,22
284,HEAVY MIX,21
285,HEAVY PRECIPATATION,21
286,Heavy Precipitation,21
287,HEAVY PRECIPITATION,21
288,Heavy rain,21
289,Heavy Rain,21
290,HEAVY RAIN,21
291,HEAVY RAIN AND FLOOD,15
292,Heavy Rain and Wind,21
293,HEAVY RAIN EFFECTS,21
294,HEAVY RAIN; URBAN FLOOD WINDS;,15
295,HEAVY RAIN/FLOODING,15
296,Heavy Rain/High Surf,21
297,HEAVY RAIN/LIGHTNING,21
298,HEAVY RAIN/MUDSLIDES/FLOOD,21
299,HEAVY RAIN/SEVERE WEATHER,21
300,HEAVY RAIN/SMALL STREAM URBAN,21
301,HEAVY RAIN/SNOW,21
302,HEAVY RAIN/URBAN FLOOD,21
303,HEAVY RAIN/WIND,21
304,HEAVY RAINFALL,21
305,HEAVY RAINS,21
306,HEAVY RAINS/FLOODING,21
307,HEAVY SEAS,23
308,HEAVY SHOWER,21
309,HEAVY SHOWERS,21
310,HEAVY SNOW,22
311,HEAVY SNOW   FREEZING RAIN,22
312,HEAVY SNOW & ICE,22
313,HEAVY SNOW AND,22
314,HEAVY SNOW AND HIGH WINDS,22
315,HEAVY SNOW AND ICE,22
316,HEAVY SNOW AND ICE STORM,22
317,HEAVY SNOW AND STRONG WINDS,22
318,HEAVY SNOW ANDBLOWING SNOW,22
319,Heavy snow shower,22
320,HEAVY SNOW SQUALLS,22
321,HEAVY SNOW-SQUALLS,22
322,HEAVY SNOW/BLIZZARD,22
323,HEAVY SNOW/BLIZZARD/AVALANCHE,22
324,HEAVY SNOW/BLOWING SNOW,22
325,HEAVY SNOW/FREEZING RAIN,22
326,HEAVY SNOW/HIGH,22
327,HEAVY SNOW/HIGH WIND,22
328,HEAVY SNOW/HIGH WINDS,22
329,HEAVY SNOW/HIGH WINDS & FLOOD,22
330,HEAVY SNOW/HIGH WINDS/FREEZING,22
331,HEAVY SNOW/ICE,22
332,HEAVY SNOW/ICE STORM,22
333,HEAVY SNOW/SLEET,22
334,HEAVY SNOW/SQUALLS,22
335,HEAVY SNOW/WIND,22
336,HEAVY SNOW/WINTER STORM,22
337,HEAVY SNOWPACK,22
338,Heavy Surf,23
339,HEAVY SURF,23
340,Heavy surf and wind,23
341,HEAVY SURF COASTAL FLOODING,23
342,HEAVY SURF/HIGH SURF,23
343,HEAVY SWELLS,23
344,HEAVY WET SNOW,22
345,HIGH,NA
346,HIGH  SWELLS,23
347,HIGH  WINDS,24
348,HIGH SEAS,23
349,High Surf,23
350,HIGH SURF,23
351,HIGH SURF ADVISORIES,23
352,HIGH SURF ADVISORY,23
353,HIGH SWELLS,23
354,HIGH TEMPERATURE RECORD,12
355,HIGH TIDES,23
356,HIGH WATER,23
357,HIGH WAVES,23
358,High Wind,24
359,HIGH WIND,24
360,HIGH WIND (G40),24
361,HIGH WIND 48,24
362,HIGH WIND 63,24
363,HIGH WIND 70,24
364,HIGH WIND AND HEAVY SNOW,24
365,HIGH WIND AND HIGH TIDES,24
366,HIGH WIND AND SEAS,24
367,HIGH WIND DAMAGE,24
368,HIGH WIND/ BLIZZARD,24
